HTTP/1.1 200 OK
Date: Fri, 20 Feb 2026 03:54:20 GMT
Content-Type: application/json; charset=utf-8
Content-Length: 3743
Connection: keep-alive
X-Powered-By: Express
Access-Control-Allow-Origin: *
X-Request-ID: d2561d25-7008-42ef-a945-9f0583b3f65e
X-RateLimit-Limit: 10
X-RateLimit-Remaining: 6
X-RateLimit-Reset: 60
X-Cache: MISS
X-Cache-TTL: 30
ETag: W/"e9f-ViMqXLW3kzwIcRjDaoN1Mqig6CA"

{"data":[{"id":"56a349b5-7243-4e0c-9fd8-f2c1eb2a5d35","sessionId":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","userId":"1f2a12b4-1bdc-463d-ba74-f6d849f5b76f","type":"click","name":"event_e8o287","properties":{"page":"/home"},"timestamp":1769541612369,"session":{"id":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","deviceType":"tablet","browser":"Edge"}},{"id":"065a1ce4-7f87-4dc0-a18a-6ee5cdbaf027","sessionId":"a6993074-bef4-4c4e-9924-1893e2acc59d","userId":"498bac8d-1cc6-4704-8ab7-272a84a27aee","type":"page_view","name":"event_3laxn6","properties":{"page":"/home"},"timestamp":"2026-01-27T19:19:13.629Z","session":{"id":"a6993074-bef4-4c4e-9924-1893e2acc59d","deviceType":"tablet","browser":"Safari"}},{"id":"a90549db-0eb5-4d60-856f-65e44421e97e","sessionId":"a6993074-bef4-4c4e-9924-1893e2acc59d","userId":"498bac8d-1cc6-4704-8ab7-272a84a27aee","type":"click","name":"event_no3fza","properties":{"page":"/home"},"timestamp":"2026-01-27T19:18:54.535Z","session":{"id":"a6993074-bef4-4c4e-9924-1893e2acc59d","deviceType":"tablet","browser":"Safari"}},{"id":"51a705a3-a3c7-464f-aa5d-3ce86b0a1298","sessionId":"a6993074-bef4-4c4e-9924-1893e2acc59d","userId":"498bac8d-1cc6-4704-8ab7-272a84a27aee","type":"form_submit","name":"event_8pcar7","properties":{"page":"/home"},"timestamp":1769541528730,"session":{"id":"a6993074-bef4-4c4e-9924-1893e2acc59d","deviceType":"tablet","browser":"Safari"}},{"id":"e9220fae-24aa-4164-b1e1-df60b4ecf884","sessionId":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","userId":"1f2a12b4-1bdc-463d-ba74-f6d849f5b76f","type":"page_view","name":"event_6yv1vh","properties":{"page":"/home"},"timestamp":"2026-01-27T19:18:34.766Z","session":{"id":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","deviceType":"tablet","browser":"Edge"}},{"id":"57c12922-6450-4a9b-8108-b8f75a5e758b","sessionId":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","userId":"1f2a12b4-1bdc-463d-ba74-f6d849f5b76f","type":"click","name":"event_5ufuk0","properties":{"page":"/home"},"timestamp":"2026-01-27T19:17:46.806Z","session":{"id":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","deviceType":"tablet","browser":"Edge"}},{"id":"88bbbb21-1954-48f6-bef3-db62a9aa041f","sessionId":"bd186d89-fcb5-44a1-b777-99074fc672bc","userId":"e06871e4-03fe-4cea-bc67-598eacdde4e1","type":"page_view","name":"event_1lujzy","properties":{"page":"/home"},"timestamp":1769541453099,"session":{"id":"bd186d89-fcb5-44a1-b777-99074fc672bc","deviceType":"mobile","browser":"Chrome"}},{"id":"7b93fdb0-63c9-48a7-a7f8-88779490962e","sessionId":"bd186d89-fcb5-44a1-b777-99074fc672bc","userId":"e06871e4-03fe-4cea-bc67-598eacdde4e1","type":"page_view","name":"event_pfqab3","properties":{"page":"/home"},"timestamp":"2026-01-27T19:17:29.756Z","session":{"id":"bd186d89-fcb5-44a1-b777-99074fc672bc","deviceType":"mobile","browser":"Chrome"}},{"id":"89646678-eb5f-412c-aaeb-7d2f94599418","sessionId":"8a999d37-7532-4a32-80c5-d303a8b9c356","userId":"05fc078f-8aaa-43aa-8116-f25cf62a1f4d","type":"page_view","name":"event_z8ao5t","properties":{"page":"/home"},"timestamp":"2026-01-27T19:17:27.617Z","session":{"id":"8a999d37-7532-4a32-80c5-d303a8b9c356","deviceType":"mobile","browser":"Edge"}},{"id":"eda628f3-c122-413e-94c0-02a092273f75","sessionId":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","userId":"1f2a12b4-1bdc-463d-ba74-f6d849f5b76f","type":"click","name":"event_rw99hw","properties":{"page":"/home"},"timestamp":1769541436761,"session":{"id":"0ae5e27f-bcc5-4d99-b744-3ce64d3623a9","deviceType":"tablet","browser":"Edge"}}],"pagination":{"limit":10,"hasMore":true,"nextCursor":"eyJpZCI6ImVkYTYyOGYzLWMxMjItNDEzZS05NGMwLTAyYTA5MjI3M2Y3NSIsInRzIjoxNzY5NTQxNDM2NzYxLCJ2IjoyLCJleHAiOjE3NzE1NTk3NzcwNjJ9","cursorExpiresIn":117},"meta":{"total":3000000,"returned":10,"requestId":"d2561d25-7008-42ef-a945-9f0583b3f65e"}}
